School_Year,Semester,Course,1st_year_enrollees,2nd_year_enrollees,3rd_year_enrollees,4th_year_enrollees,total_enrollees
2022-2023,2nd,BSBA-MARKETING_MANAGEMENT,58,32,18,42,150
2022-2023,2nd,BSBA-FINANCIAL_MANAGEMENT,52,33,18,55,158
2023-2024,1st,BSCS,0,24,14,18,56
2023-2024,1st,BSIT,0,78,70,47,195
2023-2024,1st,BSBA-MARKETING_MANAGEMENT,0,45,31,17,93
2023-2024,1st,BSBA-FINANCIAL_MANAGEMENT,0,45,32,15,92
2023-2024,2nd,BSCS,2,17,8,34,61
2023-2024,2nd,BSIT,6,49,56,71,182
2023-2024,2nd,BSBA-MARKETING_MANAGEMENT,8,36,30,23,97
2023-2024,2nd,BSBA-FINANCIAL_MANAGEMENT,5,38,31,22,96
2024-2025,1st,BSCS,16,4,24,34,78
2024-2025,1st,BSIT,70,7,54,72,203
2024-2025,1st,BSBA-MARKETING_MANAGEMENT,36,4,37,26,103
2024-2025,1st,BSBA-FINANCIAL_MANAGEMENT,25,8,34,33,100
2024-2025,2nd,BSCS,12,2,20,33,67
2024-2025,2nd,BSIT,57,6,48,70,181
2024-2025,2nd,BSBA-MARKETING_MANAGEMENT,35,2,36,28,101
2024-2025,2nd,BSBA-FINANCIAL_MANAGEMENT,11,8,30,34,83
